INFO 2024-08-10 14:43:34,607 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-10 14:43:34,607 autoreload Waiting for apps ready_event.
DEBUG 2024-08-10 14:43:34,623 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-10 14:43:34,639 autoreload Watching dir C:\Users\theop\project_mediatheque\django_mediatheque\gestion\templates with glob **/*.
DEBUG 2024-08-10 14:43:34,639 autoreload Watching dir C:\Users\theop\project_mediatheque\django_mediatheque\locale with glob **/*.mo.
DEBUG 2024-08-10 14:43:34,639 autoreload Watching dir C:\Users\theop\project_mediatheque\django_mediatheque\locale with glob **/*.mo.
DEBUG 2024-08-10 14:43:34,639 autoreload Watching dir C:\Users\theop\project_mediatheque\django_mediatheque\gestion\locale with glob **/*.mo.
DEBUG 2024-08-10 14:43:34,705 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-10 14:43:34,705 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1722342985.438942
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1722342985.972981
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1722342966.7770166
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1722342986.4919088
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\views\generic\base.py first seen with mtime 1722342987.8242097
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1722342964.067261
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\options.py first seen with mtime 1722342986.4325483
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\template\context.py first seen with mtime 1722342987.337133
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\sqlparse\sql.py first seen with mtime 1722342964.085145
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\inspect.py first seen with mtime 1722342987.6412187
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1722342986.2369182
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1722342986.1840224
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\wsgiref\util.py first seen with mtime 1722342090.2221026
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\template\exceptions.py first seen with mtime 1722342987.3681972
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1722342973.9284105
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\__init__.py first seen with mtime 1722342985.9206808
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\DLLs\_queue.pyd first seen with mtime 1723024858.454183
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\email\encoders.py first seen with mtime 1722341993.2882354
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\email\errors.py first seen with mtime 1723024880.444286
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\wsgiref\headers.py first seen with mtime 1722342090.220103
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1722342985.6650572
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1722342986.5120597
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1722342985.5195484
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\views\debug.py first seen with mtime 1722342987.757332
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1722342964.123214
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\urllib\__init__.py first seen with mtime 1723024808.649581
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\files\move.py first seen with mtime 1722342985.6467848
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1722342986.3595486
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\files\images.py first seen with mtime 1722342985.6349802
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1722342987.4673626
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\paginator.py first seen with mtime 1722342985.4776244
